offensiveYN,post
0,People who slam on the brakes at yellow lights should not be allowed to drive.
0,People who slam on the brakes at yellow lights should not be allowed to drive.
0,People who slam on the brakes at yellow lights should not be allowed to drive.
0,@AliciaDaniella8 them hoes was trash
0,"RT @HugMakeEm: I love a bad bitch with a attitude, idk why but a cutie that's a savage is sexy as fuck"
0,"RT @HugMakeEm: I love a bad bitch with a attitude, idk why but a cutie that's a savage is sexy as fuck"
0,"She don't get emojis until after I bag, emojis are pussy shit"
0,@KingHorseDick we gotta find this hoe
0,@KingHorseDick we gotta find this hoe
0,"$60 torch down the drain cause either I was to high and lost it or one of my ""niggas"" finessed that hoe fuckkkkk ittt"
0,"$60 torch down the drain cause either I was to high and lost it or one of my ""niggas"" finessed that hoe fuckkkkk ittt"
0,"RT @itsDorry: school doesnt even test your intelligence it tests ur memory...

....it tests my ability to keep calm and not slap a bitch"
0,"RT @itsDorry: school doesnt even test your intelligence it tests ur memory...

....it tests my ability to keep calm and not slap a bitch"
0,"RT @itsDorry: school doesnt even test your intelligence it tests ur memory...

....it tests my ability to keep calm and not slap a bitch"
0,Nigga a dyke RT @2Girls1Richard: .. RT @_AyooTeezy: Melo garbage ass just now hitting 20k
0,I guess none of deez rappin ass niggas wanna throw dem bitches wit da big homie @gucci1017
0,"RT @TeamBoosieBoo: No officer I wasn't drunk driving, I was swerving on them hoes."
0,"RT @TeamBoosieBoo: No officer I wasn't drunk driving, I was swerving on them hoes."
0,If my friends don't wanna hangout my automatic response is to call them a bitch. Whoops.
0,If my friends don't wanna hangout my automatic response is to call them a bitch. Whoops.
0,If my friends don't wanna hangout my automatic response is to call them a bitch. Whoops.
0,@Trippy_Spiffy ayyyyyyeeeeee my nigga back in the bitch
0,@Trippy_Spiffy ayyyyyyeeeeee my nigga back in the bitch
0,Ain't no love in the ghetto &#128148;
0,Ain't no love in the ghetto &#128148;
0,Ain't no love in the ghetto &#128148;
0,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
0,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
0,A dude with money can only impress a broke bitch.
0,A dude with money can only impress a broke bitch.
0,"I don't know why broads drunk dial me....I'm sleep, hoe!!"
0,"I don't know why broads drunk dial me....I'm sleep, hoe!!"
0,"I don't know why broads drunk dial me....I'm sleep, hoe!!"
0,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb"
0,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb"
0,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb"
0,RT @macklemore: I feel bad for all the homies that suffer from canker sores on the reg. those bitches hinder the spirit
0,RT @macklemore: I feel bad for all the homies that suffer from canker sores on the reg. those bitches hinder the spirit
0,"Can I have a bad bitch without no flaws?
Come to meet me without no drawers?"
0,"Can I have a bad bitch without no flaws?
Come to meet me without no drawers?"
0,all the bitches love me http://t.co/vDnuFGJ37p
0,"RT @StLNetworkGuru: Write in Christine LaPorta for #MOSen #Ferguson She represents all

ChappelleNadal refer to whites as crackers &amp; KKK ht&#8230;"
0,"RT @StLNetworkGuru: Write in Christine LaPorta for #MOSen #Ferguson She represents all

ChappelleNadal refer to whites as crackers &amp; KKK ht&#8230;"
0,so uncivilized
0,so uncivilized
0,so uncivilized
0,RT @KeyshBeChillin So yams are ass or pussy?
0,this bitch think he care about her talents
0,@WendyDavisTexas your 30 second add just ruined it. A new low picking on a cripple
0,@WendyDavisTexas your 30 second add just ruined it. A new low picking on a cripple
0,U see a super bad bitch in the club with a nigga that u just can't understand how he got her 99% chance he meet her at #happyhour
0,U see a super bad bitch in the club with a nigga that u just can't understand how he got her 99% chance he meet her at #happyhour
0,I can't wait to turnup with my bitches . I miss them &#128553;&#128553;
0,I can't wait to turnup with my bitches . I miss them &#128553;&#128553;
0,I can't wait to turnup with my bitches . I miss them &#128553;&#128553;
0,#OOMEF had that YEAH!!... i kno she pussy whipped that other nigga into putting a ring on it.... &#128564;&#128564;
0,RT @_prettygirl92: Life to short to be walkin round mad at bitches
0,You can't play me for a fool my niggah
0,You can't play me for a fool my niggah
0,"If she'll tell you she's a ""badd bitch"" then listen.

She's bad for your health!"
0,Pretend assholes callin the women bitches when they know they love em lol..
0,Smile at the bitches who hate you.
0,Smile at the bitches who hate you.
0,What made this niggah say that out his mouth
0,What made this niggah say that out his mouth
0,"If a teacher tried to throw me some pussy when I was in school, nigga I ain't sayin shit"
0,"If a teacher tried to throw me some pussy when I was in school, nigga I ain't sayin shit"
0,Blows my mind how some guys have these model type girls then cheat on them with some ghetto hoe.
0,@SilverbirdUSA and retarded. Love is always retarded. #sentimental
0,"@kay_laa_laa if you can't stand the heat, get out of the kitchen. Gratata swag bitch &#128526;"
0,@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up
0,it's Friday bitches &#128556;
0,it's Friday bitches &#128556;
0,it's Friday bitches &#128556;
0,DRUGS&gt; Is why #Giants are losing. Just ask #barrybonds and the HEDGE BET FUND&gt; #WorldSeriesGame6 #faggots
0,Tf bitches get a couple RT and be fstow
0,Yas bitches YAS &#128588; http://t.co/bsrWTMKw87
0,Yas bitches YAS &#128588; http://t.co/bsrWTMKw87
0,Yas bitches YAS &#128588; http://t.co/bsrWTMKw87
0,sorry wrong bitch &#9996;&#65039;
0,sorry wrong bitch &#9996;&#65039;
0,Up and let the heat pop bitch
0,"Bad bitches from Oakland, she could beeee a model"
0,"Bad bitches from Oakland, she could beeee a model"
0,This 8am biology lab ain't no hoe &#128553;&#128557;
0,This 8am biology lab ain't no hoe &#128553;&#128557;
0,"RT @Shaa_Jenkins: If I hit ya nigga , bitch I'm sorry &#128520;&#128526;"
0,"Yaaasss! RT @LoveMsLiz: When a hoe is talking about how they really don't be hoes..... &#128530; like girl, if you gotta explain it.. 9/10 a hoe."
0,"Yaaasss! RT @LoveMsLiz: When a hoe is talking about how they really don't be hoes..... &#128530; like girl, if you gotta explain it.. 9/10 a hoe."
0,My nigga was drinking Gatorade like it's not Dumass hot lol bitch drink water
0,"So I made ""hey"" as a short cut for ""pussy lips"" in Ann's phone http://t.co/QHKEsDVizR"
0,RT @FeelinMarvelous: Niggas want a virgin porn star and bitches want a dangerous safe nigga.
0,RT @exlibris: I have an embarrassment of bitches
0,RT @exlibris: I have an embarrassment of bitches
0,"All I want is bitches, big booty bitches"
0,"All I want is bitches, big booty bitches"
0,RT @Brooooo_: why all these hoes trynna be gay now? lmao
0,Y'all be cool out there in that cold chasing them hoes &#9996;&#65039;
0,Y'all be cool out there in that cold chasing them hoes &#9996;&#65039;
0,RT @drunksixthgrade: 7th grade bitches &lt;3 http://t.co/USAEZLCs5v
0,"Montana, Wisconsin, Maine, New Hampshire, North AND South Dakota, Wyoming. All places you can move an ex-hoe to and be happy."
0,"Montana, Wisconsin, Maine, New Hampshire, North AND South Dakota, Wyoming. All places you can move an ex-hoe to and be happy."
0,&#8220;@OGBEARD: Some of y'all bios are trash.&#8221; Mine pretty good
0,@freshalina I call those my ghetto nunchucks...the reason I went 2 jail as well :(
0,@freshalina I call those my ghetto nunchucks...the reason I went 2 jail as well :(
0,money hoes and clothes
0,RT @thereal_EMandM: Settling down is for pussies
0,RT @OfficiallyReid: Hoes be getting loose then move to other cities once everybody finds out they a hoe lol.
0,@Alejandro_Bihhh lmaoooo hell naw bro I be up i haven't seen that hoe
0,Am I the only #gay man without a fag hag? I guess I am.
0,@denytheprophecy that's a dragon you retard
0,Bitches be like niggas ain't shit ... Naw bitch maybe you just ain't shit
0,Bitches be like niggas ain't shit ... Naw bitch maybe you just ain't shit
0,Jay-Z got 1 of the baddest EVA that proves men don't really need to look good to pull these hoes want security
0,I'm talkin bout superb punching. The ref wAs on some hoe shit against Carlton Haywood. Dude took a full minute of unanswered @Royceda59
0,@jerseyzbest74 Aye hoe
0,RT @scottiken: It's settled. The Ding Dong is far superior than the Twinkie.
0,RT @scottiken: It's settled. The Ding Dong is far superior than the Twinkie.
0,"Thinking about the ""boom boom boom waaay ho"" video makes me laugh at least once a day."
0,"Thinking about the ""boom boom boom waaay ho"" video makes me laugh at least once a day."
0,"Thinking about the ""boom boom boom waaay ho"" video makes me laugh at least once a day."
0,if u don't buy the box of colored goldfish you r a racist tbh
0,"Run that nigga, you don't want that nigga, but I need a bad bitch that's hotter than me"
0,Dude said ice jj fish created player on 2k retarded too lol
0,These bitches really love soda out here
0,These bitches really love soda out here
0,@AndrewJBurns1 I would but I got dat new monopoly wit da cards.ill hold it up n see if a hoe will let a nigga swipe on credit
0,@AndrewJBurns1 I would but I got dat new monopoly wit da cards.ill hold it up n see if a hoe will let a nigga swipe on credit
0,@ALaQuannD what you laughing at hoe
0,The lies on this here Twitter &#8220;@Libra_DTF: You niggas wouldn't know grade a pussy even if it slapped you cross the face !&#8221;
0,"If my bf posts a pic of my daughter, just like it and keep scrolling. Your comments aren't necessary. Yes bitch, I know she's cute."
0,RT @J_Kwest: I dnt trust bitches who think they shud b on Bad Girls Club
0,RT @J_Kwest: I dnt trust bitches who think they shud b on Bad Girls Club
0,RT @jadenleAnn: @22EdHam hit that bitch with a bottle
0,@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches
0,@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches
0,RT @cashflowHO: I'm too pretty for this &#128526;&#128129;&#128133; . Yall lil bitches can have the petty shit &#128080;&#128169;&#128128; .
0,Who would've known that Jesus'll come back to the ghetto / on that level and that thorough like a black heroine.
0,Who would've known that Jesus'll come back to the ghetto / on that level and that thorough like a black heroine.
0,@ileny13 @GiselleMaryy fuck up hoes meaning stfu hoes lol &#128517;
0,"I hate when girls say ""forever alone"" like shut up your ""forever a hoe"" not forever alone so shut up before I get your dick breath on me"
0,RT @05proFESSOR: @idontbekaren @kelseysocrazy .... this is what all of my bitches say hahaha http://t.co/dHK7eU97Dc
0,&#8220;@JennaHord12: @ambernicolee05 dreamgirl McKee &#128514;&#8221;Ooh! Bet you wooonnnttt stick dat hoe
0,&#8220;@JennaHord12: @ambernicolee05 dreamgirl McKee &#128514;&#8221;Ooh! Bet you wooonnnttt stick dat hoe
0,&#8220;@JennaHord12: @ambernicolee05 dreamgirl McKee &#128514;&#8221;Ooh! Bet you wooonnnttt stick dat hoe
0,He's making sure if it's ok for the bitches http://t.co/wE7OBTKetB
0,i need to go to the mexican flea market and grab some fake gucci sandals so i can stunt on you hoes
0,i need to go to the mexican flea market and grab some fake gucci sandals so i can stunt on you hoes
0,RT @DarlinCory: Making homemade pickles and working on a funny tweet about pussy. I am going to make a great old lady!
0,RT @DarlinCory: Making homemade pickles and working on a funny tweet about pussy. I am going to make a great old lady!
0,"Been told by a lot of people that I'm cool then a hoe, and that they don't understand why someone wouldn't like me"
0,Good they trash RT @jerseyzbest74: Niggas ate most of my chips ahoy cookies and the cookies havent been in the house 20 hours yet
0,Good they trash RT @jerseyzbest74: Niggas ate most of my chips ahoy cookies and the cookies havent been in the house 20 hours yet
0,"I think dat @Miss_Facetious called me a nigger!
What do move away from da dark side mean?"
0,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
0,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
0,"""@_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
0,You can't put anything past a New York bitch. Or a Detroit bitch. Or a Chicago bitch.
0,You got hoes really out there titty twerkin &#128584;&#128584;&#128584; https://t.co/1Cc7GU4e7O
0,"Classy rich family kids doing drugs and tryina be all ghetto and shit,while actual ghetto poor kids looking for education to get outta there"
0,@kater_tater_ shine bright like a bad bitch
0,@kater_tater_ shine bright like a bad bitch
0,RT @cpSqueak: each time I do it for ya I make that bad pussy behave
0,"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
0,Slowbros over hoes
0,Slowbros over hoes
0,@Hendrixoxo wtf hoe answer my question
0,RT @Coop_oz: I'm Tryna be like steez &#128175; bro got dem hoes rir
0,RT @Coop_oz: I'm Tryna be like steez &#128175; bro got dem hoes rir
0,RT @Coop_oz: I'm Tryna be like steez &#128175; bro got dem hoes rir
0,leaving no hope for these hoes.
0,If you sweat pussy it's somethin new to you..
0,RT @itsDorry: maybe all these fake bitches will pretend to be real for halloween
0,"Can't stand the Yankees but Jeter hitting a home run in his final at bat in NYC would be cool. 

Getting beaned would be better!"
0,"Can't stand the Yankees but Jeter hitting a home run in his final at bat in NYC would be cool. 

Getting beaned would be better!"
0,RT @NerdAtCoolTable: Any chick that gets In a fight after the age 24 is a hoe
0,I like it when you call me McSully I like when bad bitches pour honey on my silky body it's not even the 90s
0,RT @MichaelArenella: Shy girls are cute
0,RT @MichaelArenella: Shy girls are cute
0,RT @MichaelArenella: Shy girls are cute
0,Citi field bitches http://t.co/gHxXmb3M
0,Citi field bitches http://t.co/gHxXmb3M
0,Citi field bitches http://t.co/gHxXmb3M
0,But not prettier than Amber's. RT @YumiYoko: Her pussy is pretty
0,RT @SexualTruth: SEX FACT: A lot of women say getting their ass eaten feels better than getting their pussy eaten.
0,@Elijahfnbaby bra I'm bout to blaze this bitch
0,@Elijahfnbaby bra I'm bout to blaze this bitch
0,@Elijahfnbaby bra I'm bout to blaze this bitch
0,RT @MrStories: I can't wait to see the new planet of the apes.
0,RT @MrStories: I can't wait to see the new planet of the apes.
0,RT @MrStories: I can't wait to see the new planet of the apes.
0,RT @rhythmixx_: &#8220;@aliyahgrubb: Kanye West is a costume not a mock of a race.&#8221; girl I hate to do this but Kanye is a human not a costume but&#8230;
0,RT @rhythmixx_: &#8220;@aliyahgrubb: Kanye West is a costume not a mock of a race.&#8221; girl I hate to do this but Kanye is a human not a costume but&#8230;
0,"RT @oh_sh1t: Damn, I got bitches *kanye voice*"
0,Fenkell in this bitch
0,Im still going trick or treating. Thats free munchies bitch
0,Im still going trick or treating. Thats free munchies bitch
0,Im still going trick or treating. Thats free munchies bitch
0,@DimelouXaOh keeping these hoes happy
0,@DimelouXaOh keeping these hoes happy
0,I only wanna see bad bitches on snap chat
0,I only wanna see bad bitches on snap chat
0,"A hoe gon be a hoe, that ain't a hunnid."
0,RT @tupactopus: hoes on my jitterbug
0,RT @tupactopus: hoes on my jitterbug
0,@bill_gaines @MorningJoe ATF is in charge of prosecuting cases and the #teabagger Republicans won't confirm a director to lead the agency.
0,@bill_gaines @MorningJoe ATF is in charge of prosecuting cases and the #teabagger Republicans won't confirm a director to lead the agency.
0,"Nigga said dates is pussy installment plans, so is that why you gotta keep saying her when you get it cuz it's never truly yours?"
0,"Nigga said dates is pussy installment plans, so is that why you gotta keep saying her when you get it cuz it's never truly yours?"
0,Free my niggah C4
0,Free my niggah C4
0,These hoes they loving the crewwww &#128564;
0,These hoes they loving the crewwww &#128564;
0,Cousins looking for bitches I hope RT @TheOnlyReed: THE FUCK IS THIS? http://t.co/jLrApkDlYs
0,I beat that pussy up up up up
0,Nigga... lol IDK ..Elway trying to snatch everybody! RT @jwill252: Come on redskins shitttt go sign revis idk what he want lls
0,RT @ijustbeSinginn: I just wanna leave this bitch for a weekend
0,RT @ijustbeSinginn: I just wanna leave this bitch for a weekend
0,RT @ijustbeSinginn: I just wanna leave this bitch for a weekend
0,"RT @ashkardash___: If you let your girl get disrespected and you don't do nothing, you should of been born a bitch cuz only bitch niggas le&#8230;"
0,If that's yo hoe ... That's my hoe 2
0,There's a lot of big booty bitches at pharr gym &#128563;&#128584;&#127825;
0,There's a lot of big booty bitches at pharr gym &#128563;&#128584;&#127825;
0,RT @WatDaFckYouMean: Can't give these hoes a inch cuz they'll try to take mile
0,One of the world's most prominent Jihadi forums just got shut down &#8594; http://t.co/9vafK90DOU
0,One of the world's most prominent Jihadi forums just got shut down &#8594; http://t.co/9vafK90DOU
0,One of the world's most prominent Jihadi forums just got shut down &#8594; http://t.co/9vafK90DOU
0,"RT!
COMMENCE CARPET BOMBING! All #Iraq soldiers in this video http://t.co/7oLD2eDB1R executed by Jihadis from #Tunis http://t.co/02E1cEOE3z&#8221;"
0,"RT!
COMMENCE CARPET BOMBING! All #Iraq soldiers in this video http://t.co/7oLD2eDB1R executed by Jihadis from #Tunis http://t.co/02E1cEOE3z&#8221;"
0,why are these freshman so ghetto lmao
0,hoes get mad when they think you forget them
0,RT @WhiteboiColeman: Stepping away from the twitter beef. I'm going to bed cause I gotta be up at 5. Gotta go be a redneck asshole at my us&#8230;
0,RT @WhiteboiColeman: Stepping away from the twitter beef. I'm going to bed cause I gotta be up at 5. Gotta go be a redneck asshole at my us&#8230;
0,@iAM_tRoyal5 @Briscoefunnyguy @I_GotOne @_KaeeJones lmaoooo that hoe look like &#128058;
0,&#8220;@UnLike_Society: Good pussy be making a nigga have to regroup&#8221; pull out and get your thoughts together&#128514;&#128514;
0,&#8220;@UnLike_Society: Good pussy be making a nigga have to regroup&#8221; pull out and get your thoughts together&#128514;&#128514;
0,@itsjaylaaa not a bitch that's for sure
0,@itsjaylaaa not a bitch that's for sure
0,@Freegeezy17 shoot that nigger bitch in the knees....
0,quote this with your best racist comment i need them for this white bitch comin at my black side llab
0,quote this with your best racist comment i need them for this white bitch comin at my black side llab
0,RT @illi708: the easy way out RT @BiggieBOSSMane While you females calling them hoes asking if they want ketchup with they fries. http://t&#8230;
0,"Met this bitch online. Call her my ""e-bae"""
0,"Met this bitch online. Call her my ""e-bae"""
0,"""@theaveragerocks: Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches"""
0,"Fuck all that Some bitches so disrespectful they don't care. They will talk , fuck , ya boyfriend and still speak to the girlfriend."
0,"""They have some ghetto ass bands"" * gets snuck* &#128514;&#128514;&#128514;&#128514;"
0,I can't with these second class bitches
0,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
0,@heydenbunsyolo @jordan536633 @bird_lovin yea native and black proud then a bitch
0,@heydenbunsyolo @jordan536633 @bird_lovin yea native and black proud then a bitch
0,@heydenbunsyolo @jordan536633 @bird_lovin yea native and black proud then a bitch
0,@jacksparenohoe let's hang out nigger
0,When people igg my text they get aired out in my head all types of bitches an dickheads &#128514;
0,RT @_____AL: Woww. Now niggas can't hit u bitches line and ask what u doin nomo.
0,"RT @KattPacWilliams: Niggas wearing TOMS &amp; UGGS , &amp; bitches wearing JAYS &amp; TIMBS. Lol, this aint what Usher meant when he said ""Trading Pla&#8230;"
0,"RT @KattPacWilliams: Niggas wearing TOMS &amp; UGGS , &amp; bitches wearing JAYS &amp; TIMBS. Lol, this aint what Usher meant when he said ""Trading Pla&#8230;"
0,RT @SolelyJones: Lowkey Apple made iOS 8 like this so niggas get caught and have to buy their bitches iphone 6s to make up
0,RT @B_Laff: &#8220;@JRohrCockblock: im a faggot&#8221; @JohnnyRohrCock
0,RT @IamMrEchols: She eating pussy but don't eat vegetables
0,RT @Ovoxo_alamillo: When hoes talk shit about other hoes... I'll just leave this here.
0,@areuseriousrn @harmon_lauren it's okay I'll get bitches on this dick anyway but thanks for the tip
0,RT @Officialsed_: Most relationships end because bitches wanna take advice from their lonely ass single friends! &#128514;&#128514;&#128514;
0,RT @Officialsed_: Most relationships end because bitches wanna take advice from their lonely ass single friends! &#128514;&#128514;&#128514;
0,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses."
0,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses."
0,@karazopfi Then send them bitches through express mail overnight delivery
0,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up
0,&#8220;@comedianjayski: My favorite time of da day HAPPY HOUR!!! #Drinkbreak&#8221;when the bad bitches come out and the ok hoes at home doing make-up
0,These bitches fake one min talking about a hoe next min bestfriends with the hoe
0,These bitches fake one min talking about a hoe next min bestfriends with the hoe
0,"I wasn't born last night, I know these hoes ain't right"
0,"&#8220;@hippiescrub: ""I can believe that wiz khalifa and that one bald bitch are getting divorced ""&#8221;"
0,"Maybe I'll love you one day, maybe we'll someday grow. Till then just sit your drunk ass on that runway hoe."
0,"Maybe I'll love you one day, maybe we'll someday grow. Till then just sit your drunk ass on that runway hoe."
0,Bad bitch contest you in first place &#128175; http://t.co/c1cPZMzEQR
0,Bad bitch contest you in first place &#128175; http://t.co/c1cPZMzEQR
0,RT @lildurk_: Seem like dese bitches ain't loyal
0,"Aint no bitches here... Well, like 3"
0,"Aint no bitches here... Well, like 3"
0,&#8220;@lovelyatotheb: This guy said he's slept with 300 girls.. Oh ok let me puke now.&#8221;I know a girl that had 70 dudes slut/whore not hoe
0,There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a problem...
0,There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a problem...
0,RT @AwwBroYouAhHoe: Big booty bitches always win.
0,RT @AwwBroYouAhHoe: Big booty bitches always win.
0,RT @AwwBroYouAhHoe: Big booty bitches always win.
0,RT @rickygervais: Humans are genetically closer to chimps than chimps are to gorillas. But we are all apes. Have a great day you clever twe&#8230;
0,RT @rickygervais: Humans are genetically closer to chimps than chimps are to gorillas. But we are all apes. Have a great day you clever twe&#8230;
0,RT @SarcasmLeague: Somewhere in the world some bitch is ordering roses for herself so she doesn't look like the lonely bitch at the office
0,RT @CraziestSex: A girl KNOWS when a bitch likes her boyfriend &#128564;&#128080;
0,RT @CraziestSex: A girl KNOWS when a bitch likes her boyfriend &#128564;&#128080;
0,@RealWallieWall Sheet i can't do that too a cripple
0,"These little girls at Simons were telling me they like my huf socks, bitch go home &amp; do your homework"
0,"These little girls at Simons were telling me they like my huf socks, bitch go home &amp; do your homework"
0,"RT @ImNeverChillin: Any bitch that tell you ""I normally don't do this"" get ready for the best head/pussy you've ever got"
0,RT @NerdAtCoolTable: RT @RealSheemBacc: For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ...
0,RT @ryancruz_: Travis always on my TL being ghetto &#128514;&#128514;
0,RT @ryancruz_: Travis always on my TL being ghetto &#128514;&#128514;
0,RT @TomBradysEgo: Sorry bitches it takes more than Luck to beat me.
0,Niggas sleepin with bitches grandmas??? Lmfao maury fake af
0,Niggas sleepin with bitches grandmas??? Lmfao maury fake af
0,Niggas sleepin with bitches grandmas??? Lmfao maury fake af
0,I'm the biggest redskins dam right now if they get this stop
0,I'm the biggest redskins dam right now if they get this stop
0,I'm the biggest redskins dam right now if they get this stop
0,"RT @rockiefresh: If ya chick always getting into it wit other bitches u gotta tell her that shit ain&#8217;t fly, and it&#8217;s costly"
0,"RT @rockiefresh: If ya chick always getting into it wit other bitches u gotta tell her that shit ain&#8217;t fly, and it&#8217;s costly"
0,"Whatever happens, I won't let racism become a big trend again. I refuse. Over my fuckin dead body bitches, I'm mixed I can't be racist"
0,"Whatever happens, I won't let racism become a big trend again. I refuse. Over my fuckin dead body bitches, I'm mixed I can't be racist"
0,henny cups on all that ice bitch i'm froze up
0,henny cups on all that ice bitch i'm froze up
0,Hanging out with guys does not make you a hoe
0,Hanging out with guys does not make you a hoe
0,Somebody tell these pussy niggas I got em
0,Somebody tell these pussy niggas I got em
0,Why you talking to hoes about bro nem?! &#128548;
0,@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.
0,Highhhhh watching dawn of planet of the apes #StonerNation #LifeComplete
